Name,Ocupacion__c,Score_Buro__c,Tipo_de_Vivienda__c,AnnualRevenue,Id_Externo__c
Karyn,JUBILADO,117,Propia,6712.62,a475fba5-6119-45fa-a7a7-a77e6e217340
Bertina,NINGUNO,110,Arrendada,-1153.4,49ab619a-255a-44bb-a2ee-1f4845b25c17
Daisy,INDEPENDIENTE,142,Propia,1896.68,0bc81598-a9b4-422c-b835-0d6d1d433f44
Dex,NINGUNO,883,Propia,4534.32,fa282b6a-1713-406f-af53-6cf42ff6628e
Mateo,NINGUNO,33,Arrendada,5302.55,9bfed09e-975c-42e8-892b-72200153c785
Carleen,SECTOR PUBLICO,78,Vive con Familiares,3751.76,0d8e223e-a8e8-480a-b5db-456061694c5a
Angel,SECTOR PRIVADO,251,Vive con Familiares,8149.59,d03b1dfa-23b0-4c99-9d5f-5377bc8e4755
Gus,NINGUNO,533,Arrendada,3860.11,150ca6de-7589-4af3-b8ba-4bfdc031e033
Willette,NINGUNO,357,Vive con Familiares,717.37,b7ad51c4-18a5-46d8-b6ba-926f933cd101
Jarib,NINGUNO,731,Arrendada,-456.91,e1be6f33-bb9e-49a3-b286-3b2377217e01
Kaitlyn,SECTOR PUBLICO,994,Propia,3836.21,589fa666-5deb-4823-aa3c-d867e56b1320
Ignacius,JUBILADO,404,Arrendada,8725.04,d3f3ba16-db44-466e-a20a-573380c0778f
Balduin,JUBILADO,390,Vive con Familiares,4912.64,bab0b493-ba3c-4f8e-acd8-e459d5000b12
Irene,PROFESIONAL,370,Propia,5910.18,0b108598-f5a4-41ec-aebb-a6e862234fdd
Cathyleen,SECTOR PRIVADO,653,Propia,1406.23,f3a32921-8921-43fd-a8e7-f383be6b23c0
Delmer,SECTOR PUBLICO,999,Propia,4552.8,c0ba5976-73f8-4698-b150-5cda54e6bb4f
Greer,SECTOR PUBLICO,646,Arrendada,8966.48,1115eea2-8faf-4e64-be35-206a8a1a6bd2
Jory,NINGUNO,722,Vive con Familiares,4449.33,c4b2f4c1-0087-48af-b9a3-8db2f2569161
Heidie,NINGUNO,352,Arrendada,7034.26,9d42dd8c-8f1d-4c33-bfc6-cd97ae2b62da
Robinson,JUBILADO,605,Vive con Familiares,2588.37,596dbef2-dab4-4620-a8f8-32cc84080b13
Byrom,JUBILADO,749,Vive con Familiares,8106.13,098329e4-a628-4990-a633-fe2e525b63e2
Yanaton,SECTOR PRIVADO,494,Arrendada,7476.46,350fa859-8ac7-4edc-aec9-799c5a6d2ab1
Edvard,PROFESIONAL,511,Propia,3750.43,a9db65e6-e51f-4945-b7e8-94f700a68e28
Dallas,PROFESIONAL,554,Propia,7033.07,51ee40d8-0099-459b-a721-010bcf02de51
Munroe,SECTOR PRIVADO,233,Vive con Familiares,8846.46,88d11350-734c-46fc-8306-793a31072d42
Tomasina,SECTOR PRIVADO,887,Propia,7438.62,24952346-3808-433b-a710-d70cd385e1fc
Karlene,NINGUNO,755,Arrendada,5322.21,fcafb83f-5905-49a6-ad40-cc762716a41a
Fraze,SECTOR PUBLICO,883,Arrendada,3038.08,60fcc2fa-ac50-42af-aadd-7cbf1ccaf09d
Dru,JUBILADO,309,Vive con Familiares,5080.67,11a0aa2f-6248-41f5-9dcd-ef84f98162f5
Franz,JUBILADO,480,Arrendada,3560.76,67d13d93-4b74-45a4-82ba-c5fba0853300
Alvis,PROFESIONAL,263,Vive con Familiares,5681.29,b8505b9c-5fe5-45e0-9a1b-eabb0199770b
April,SECTOR PUBLICO,526,Arrendada,2274.84,0570ae64-8ba2-4871-8f3b-76dd9400eb38
Forester,SECTOR PRIVADO,262,Vive con Familiares,8599.2,8c5ab41f-1d1d-439a-abce-0d3fd1f246cb
Berthe,SECTOR PUBLICO,283,Vive con Familiares,5952.59,c8e40f9d-afe0-473f-9d7d-4a889a249583
Dehlia,SECTOR PUBLICO,784,Vive con Familiares,2881.02,01c025c7-4f1f-4971-9534-4fdc1f1a0f13
Derril,JUBILADO,845,Arrendada,7106.36,ee794527-ef14-43e3-b5ec-47aff73aa40c
Ruprecht,JUBILADO,711,Arrendada,6750.66,5b3d1ada-f1f8-454c-96e3-6b09911a3576
Eugine,SECTOR PUBLICO,665,Propia,5711.06,76da21c7-b12d-4fbf-9577-b36ec4b47285
Gert,SECTOR PRIVADO,100,Vive con Familiares,6705.02,6a9a609d-056c-46ba-802e-fb4b3ff849f2
Luisa,SECTOR PRIVADO,345,Arrendada,6058.06,74b6ad86-183e-445a-b365-7b67c94c795c
Elvin,SECTOR PUBLICO,450,Vive con Familiares,4383.56,311c7fe1-787a-48c7-be0a-4afb08b4b359
Deloria,SECTOR PRIVADO,5,Vive con Familiares,4555.32,9562d3fd-0a8c-4f5f-8c77-29f31dd15e8f
Oralee,JUBILADO,665,Propia,952.43,0055679d-ce7a-4136-97bc-693de2554bd6
Betsy,SECTOR PUBLICO,670,Vive con Familiares,5758.89,2131cf3e-9a42-4423-a972-a2b1eab188bc
Morry,NINGUNO,902,Vive con Familiares,5961.6,b4fb7f15-17b9-483c-b7d0-d891c95d10ed
Cher,INDEPENDIENTE,523,Vive con Familiares,6168.73,5e19698d-af99-45ee-9c52-f9dc1b6c20d4
Jodee,SECTOR PUBLICO,49,Vive con Familiares,4877.28,a9af9c41-e7d9-420c-b7b3-616ac7077ee3
Kelsey,SECTOR PUBLICO,888,Propia,6943.84,55dbe2c9-d6b2-49d2-845b-8015444def76
Allard,SECTOR PRIVADO,272,Arrendada,5075.44,4dcea340-d15d-42ae-a491-baa98304c95f
Saunderson,JUBILADO,510,Arrendada,7517.6,cae40b50-7c35-41f3-80da-59ddec9033df
Inglis,PROFESIONAL,432,Arrendada,3168.39,76ea3c57-f36b-4cfd-8e0d-ccbde412d628
Archie,NINGUNO,932,Arrendada,8064.39,4f9c80ce-df7d-41d1-9d04-18a8aeeefe94
Lucilia,NINGUNO,491,Propia,4940.96,8f198215-0cd4-4106-b145-562372ca7dc4
Shari,JUBILADO,685,Arrendada,7650.56,9b457d6d-0c6f-4cd1-bd45-802aee63d399
Rheba,INDEPENDIENTE,313,Propia,6349.28,79de3c76-19a0-427c-b1dd-719777ae23e7
Charmane,SECTOR PRIVADO,710,Propia,8740.34,8eac50f9-11e6-4673-981f-2a7580e436ca
Shayna,PROFESIONAL,364,Propia,5457.55,d5fbdafc-4451-472c-bd01-ace39e3a7081
Lucinda,SECTOR PRIVADO,284,Propia,2447.85,6c8ce6e7-b245-4be0-905c-855048906071
Dyan,INDEPENDIENTE,425,Vive con Familiares,10457.31,21df3f98-8a8b-4496-89d5-408e6cfb2d46
Christoforo,JUBILADO,811,Propia,5900.21,454ccca2-4365-4481-936e-c3e5906e24e2
Joye,NINGUNO,976,Propia,8013.9,582cc616-6dc3-4a38-9180-80abdfc8b91b
Adora,SECTOR PUBLICO,809,Propia,4403.1,d7e6b4e2-d262-4ee0-88ad-4572e8d84f6d
Stafani,PROFESIONAL,57,Propia,1023.16,827fa824-d0e4-42be-ae84-8f877a926760
Gaye,SECTOR PUBLICO,988,Propia,4790.91,106ed1e2-1894-401a-8c1e-fe1cd3e2a651
Morgen,PROFESIONAL,151,Propia,7880.61,0b030ac2-fecc-4fd7-9ae7-d02563455611
Ginelle,NINGUNO,456,Arrendada,1105.84,b88e9686-a0d2-44ed-b5d9-37b03fc7457b
Petronia,NINGUNO,245,Arrendada,4560.23,be1bae1e-3368-4dc3-9d3c-6d1236634528
Claudian,SECTOR PRIVADO,578,Vive con Familiares,3339.17,5829e164-8d61-4e09-ab25-6798528374dd
Liv,JUBILADO,625,Arrendada,-980.3,eba0f91d-0513-4c4a-bb7a-c6fde422580a
Andris,JUBILADO,229,Vive con Familiares,6462.61,ee83a5cd-034f-4a5a-90dd-6dbb57f2e2e2
Alvie,JUBILADO,252,Arrendada,993.01,b6e275e1-f82d-46f9-9d8b-4c37a8e475db
Theodore,JUBILADO,780,Arrendada,7335.37,4f236757-275d-4c17-bba3-7831e644b7c8
Allix,NINGUNO,204,Propia,5967.26,9dfe1fb3-8976-4199-81a5-4a59d6963a39
Yoshi,PROFESIONAL,775,Vive con Familiares,7262.11,5143edef-80e9-4777-afa9-9424d9f30b2b
Hubert,PROFESIONAL,902,Vive con Familiares,-614.52,a5baa517-9d80-4d40-8c07-3623c5f2f2f9
Florentia,SECTOR PRIVADO,706,Propia,-715.47,9f77a69e-664c-459b-8c63-0687f11f2cf6
Cris,SECTOR PRIVADO,919,Arrendada,1900.06,2db6f1fb-f490-48fe-90a4-c50766184e57
Nickolai,NINGUNO,727,Propia,866.39,c572eb7c-a43f-4151-b605-47839d038748
Wildon,PROFESIONAL,781,Propia,7731.0,9c22d16a-4491-4150-b253-b0a13e62ce9e
Saleem,INDEPENDIENTE,720,Vive con Familiares,2661.55,ed68b4d8-af6e-4085-a582-d915a0f5f688
Darby,SECTOR PUBLICO,897,Arrendada,3870.53,fb793183-9217-4364-b286-b02b0c545f53
Elroy,INDEPENDIENTE,599,Vive con Familiares,1474.34,1cf19ca6-0d7e-4828-95c7-90824cef0ab8
Caril,PROFESIONAL,391,Arrendada,6696.07,f48b0a91-3cb7-41ac-a6c5-d1f61cbe6fa3
Marrissa,SECTOR PUBLICO,179,Arrendada,6943.98,6fffbd49-5cc8-4bab-8076-b05147cbab8f
Aurlie,JUBILADO,858,Propia,9180.12,5ce6fc2e-c8a4-495a-a7b2-54842249e4dd
Gualterio,NINGUNO,674,Propia,5111.79,994ad411-1642-4a0d-a101-a007431e9671
Claire,SECTOR PUBLICO,99,Propia,9817.22,39214eee-e41f-4aca-9448-7f161b41d74f
Berry,NINGUNO,260,Arrendada,2726.67,40f7f23e-7b87-47ce-804a-709f9e940cf4
Yorker,PROFESIONAL,619,Propia,4045.21,a0e0e4de-a03d-4c85-a0c9-512b8681dcf1
Breena,INDEPENDIENTE,382,Vive con Familiares,3747.9,68088597-6e90-4d34-bcce-2877c1e63524
Annamarie,SECTOR PUBLICO,607,Propia,6131.34,0ea76af1-6de2-4c2b-a0e2-b6155aca4247
Beauregard,INDEPENDIENTE,339,Arrendada,3096.92,c54b8768-c870-4d69-8ecf-3042e9f2d79f
Quinlan,SECTOR PUBLICO,880,Arrendada,4663.36,c194c050-928e-4806-a367-06e97c4e3316
Jermaine,SECTOR PRIVADO,505,Propia,7600.79,99e52b52-d325-4b13-9311-c283813e3a0b
Catherin,JUBILADO,402,Arrendada,6676.18,72d50af6-7661-4611-9166-c701cedf5676
Margaret,INDEPENDIENTE,248,Arrendada,4614.09,a18d1a04-7b2c-4e68-9b5c-f010494f152d
Phillie,NINGUNO,847,Arrendada,3414.57,1a5104af-74a5-4b25-8ae7-1abc5efee658
Davis,SECTOR PRIVADO,12,Vive con Familiares,10076.16,f5736e62-d832-4d8a-b9eb-a3087726161e
Zacharia,SECTOR PRIVADO,28,Propia,7142.77,101f380e-3b76-4996-bd2b-3ca98f54d88b
Bondie,INDEPENDIENTE,565,Arrendada,10072.48,bba10dec-b06c-4dbd-b1e0-1368bb6401f8
Filberte,SECTOR PUBLICO,374,Arrendada,10416.17,ca77eec3-5d62-4b9c-9afb-67328bce5077
Ulrich,SECTOR PRIVADO,413,Vive con Familiares,2976.55,749e0353-4dc5-4743-9129-be255825c1a6
Selby,PROFESIONAL,161,Propia,-156.73,ff0a06d3-3cd6-40e4-ac56-1d6be4fe30bc
Lora,INDEPENDIENTE,77,Vive con Familiares,5515.05,00f3c8d4-c9cb-4b1b-bd6a-fa30cecc5407
Addia,INDEPENDIENTE,938,Arrendada,3900.51,fdd3c5c4-89b1-46dd-9be4-2550f1c57676
Aleda,NINGUNO,871,Vive con Familiares,1150.32,2443d76f-ea4e-4b49-aac1-6f968c7cfbed
Di,PROFESIONAL,326,Arrendada,2939.87,6656245a-f358-4e48-ad0c-5307af67a734
Raychel,SECTOR PRIVADO,436,Propia,5310.98,da16c0cb-7af3-4432-bb10-1b3541a73737
Bronny,SECTOR PUBLICO,378,Propia,5205.68,91ec01ee-f45d-4600-a3df-384ad742cc98
Charity,INDEPENDIENTE,779,Arrendada,3315.22,4838ff4f-b3b9-4f97-b368-0b2b0fe903af
Dorolice,INDEPENDIENTE,928,Vive con Familiares,8985.38,be5b717f-f219-443d-b141-52b24c84c490
Teodora,NINGUNO,731,Vive con Familiares,8686.64,0c4b2b99-53cd-4663-99b2-aa4a5538cdaa
Valeria,JUBILADO,618,Propia,4356.75,4096e82b-b7d2-4444-a50e-7cd8d390c20d
Gilli,SECTOR PUBLICO,408,Propia,7574.44,80d8b731-153d-4837-a987-71f529505054
Bradly,JUBILADO,954,Propia,-1935.97,1dd730a2-d8b6-4606-83d5-51139dd38ce1
Chere,INDEPENDIENTE,350,Propia,4142.48,1a37e6b0-fd45-4ec2-b640-84c4daa5b37b
Andeee,INDEPENDIENTE,725,Propia,10261.37,2acda223-7bdb-4f66-b313-98f0f040d2d9
Joelynn,JUBILADO,619,Arrendada,1494.49,f3483ff3-1579-4303-ae92-eca71875d2ce
