Name,Ocupacion__c,Score_Buro__c,Tipo_de_Vivienda__c,AnnualRevenue,Id_Externo__c
Yolane,SECTOR PRIVADO,292,Vive con Familiares,5940.35,ff31b4d5-7b34-43e5-813d-a8f742bf58db
Antonetta,SECTOR PRIVADO,485,Vive con Familiares,2306.34,0cd8f04d-77fe-4724-9a2d-e3fd6de05517
Cross,INDEPENDIENTE,832,Propia,9865.36,aad63555-95c2-4397-a153-1ea240940866
Ardeen,PROFESIONAL,873,Arrendada,3917.37,60b447d4-3682-42ad-8b6c-22189cd71084
Clay,JUBILADO,904,Vive con Familiares,8574.07,72d34ca2-344f-4849-9b44-f00f14aebeb9
Knox,JUBILADO,743,Vive con Familiares,4001.34,48a15bd8-3d4e-47c4-8756-58dbd31e3945
Ludwig,JUBILADO,184,Arrendada,4745.76,5249ae59-a6d3-431a-bf94-8d508d424483
Vittoria,SECTOR PRIVADO,333,Propia,4004.83,04d8e951-aca4-4f41-b385-a48849f5bed8
Lukas,SECTOR PRIVADO,250,Propia,-135.05,38638c0f-e003-4d8f-a001-cd76f650d8d0
Fern,NINGUNO,485,Propia,7037.24,15bc629d-8b8a-4aeb-a327-2ab90a3682f9
Valeria,JUBILADO,880,Vive con Familiares,9917.79,0c8eb9e2-eeb7-494a-9ce9-112ecc4fb0cb
Rebeka,NINGUNO,993,Vive con Familiares,6998.58,72b747b2-0074-4310-93f0-d6630ac1ec8f
Ramona,PROFESIONAL,869,Propia,6670.92,77be6d9a-76ab-4888-b44e-4e01d1fdcb26
Oriana,PROFESIONAL,896,Arrendada,2432.79,849577cf-bf97-4209-af88-65f46f76bae2
Uriel,SECTOR PUBLICO,212,Arrendada,11218.37,3ab6f018-45bc-4efd-8b99-cf65087b32a1
Grace,JUBILADO,802,Propia,-855.53,5a0f94d0-393b-4c6d-8d6f-a224521f95a2
Marj,PROFESIONAL,548,Arrendada,6996.88,6f480e84-1561-4c8c-97ce-3cdce65db883
Tamara,SECTOR PRIVADO,304,Propia,750.89,f3e3ca7b-99b4-4632-98b4-ab8c0c2e99d6
Shaughn,JUBILADO,435,Propia,3712.59,10b2981e-25d0-428b-8f0c-f834afa3b66f
Fallon,SECTOR PUBLICO,457,Propia,1517.33,fc14de03-f7f7-4768-9d3f-ecc64c76b63f
Maison,SECTOR PUBLICO,248,Propia,10967.64,84971770-4c6f-4172-94cd-bb2a5a13e6b8
Zelma,SECTOR PRIVADO,552,Vive con Familiares,3304.67,c775650c-eb19-4029-bcc8-d99c418842ce
Mirelle,SECTOR PRIVADO,934,Propia,284.2,dac01e2d-68f4-4cf7-b3f0-9a81f8b864a8
Levy,PROFESIONAL,661,Arrendada,6907.45,d45b8e22-7d31-4b5c-b71f-33606a76a566
Sheff,PROFESIONAL,600,Arrendada,10188.74,5bdf475b-1668-486f-b910-aaacf5f5efa2
Ellissa,SECTOR PRIVADO,57,Arrendada,9403.55,a6d4da27-35fa-4fda-93cd-65fee131c7cb
Lindon,SECTOR PRIVADO,708,Propia,2344.58,3ba408d6-f994-46a2-a576-c79f5d4cfb2e
Kitti,INDEPENDIENTE,626,Vive con Familiares,13108.04,9a50b6cd-9d85-48f4-95f0-40e20206bbbb
Redford,JUBILADO,895,Vive con Familiares,-798.68,be8b708f-1233-424e-a9e9-cc9a0db0d2db
Raven,SECTOR PRIVADO,956,Propia,3385.87,0cf90ce8-5374-4a7d-856d-a2185071e45a
Magdalen,JUBILADO,664,Vive con Familiares,-2332.24,12311ab5-5f3f-4d7c-bd35-e1b2997a1414
Mufi,NINGUNO,870,Arrendada,5005.3,cd43c5f7-ef3c-4e32-87b6-14f05d5145de
Fey,PROFESIONAL,939,Vive con Familiares,4384.46,c07331b9-c08d-4774-9120-334dd9b453a3
Emanuel,SECTOR PUBLICO,868,Propia,5725.44,ab39ff4a-04d3-44a2-b6cd-4764ee1f3156
Lina,SECTOR PRIVADO,735,Vive con Familiares,8862.19,3e8a7024-788e-47de-80b9-01484d0ee2eb
Nessy,INDEPENDIENTE,196,Arrendada,11147.98,1284e963-3127-4df4-8d75-f60b1ed2692a
Kelwin,JUBILADO,401,Arrendada,-1759.41,4db9e70f-5366-496d-97bf-b4e908dc6a9e
Fawn,JUBILADO,652,Arrendada,6474.01,4af7f612-b25e-4a5d-87f2-0fd16052fab6
Esme,NINGUNO,802,Propia,194.48,cbd21a30-1b55-428f-81f4-b284a778e29b
Nedi,JUBILADO,453,Vive con Familiares,5010.74,055b9c9c-382b-4ffe-a628-1236c4ad75de
Teodor,SECTOR PUBLICO,759,Vive con Familiares,8347.53,60eb25fa-2ae9-4493-9ef5-9de71476884b
Earvin,SECTOR PUBLICO,772,Vive con Familiares,10339.78,24d726d3-b5e1-45ba-bea2-ead3f5b58f60
Konstanze,INDEPENDIENTE,72,Vive con Familiares,886.31,44b27ca5-16db-4bb3-aea1-5a5ef05836a3
Mariska,SECTOR PRIVADO,280,Vive con Familiares,7070.23,26694e2d-c258-45e3-9b5c-bfc1fcb69f57
Norrie,NINGUNO,423,Arrendada,6963.32,90b8716c-da98-487e-9bd4-26b88d4680cf
Marchelle,NINGUNO,370,Arrendada,7519.41,cc5ac92c-3f1f-4b15-bac9-4acb9346295c
Phillie,SECTOR PRIVADO,40,Arrendada,763.2,432f5e82-bb81-40f4-b3b7-362b48718c1c
Ebony,JUBILADO,497,Arrendada,5632.18,d614dc8a-4275-43b1-8d5b-4187a75e03ba
Margarette,JUBILADO,923,Vive con Familiares,3032.54,ae118991-3555-43e7-a71e-b2670d3be0e6
Magdaia,SECTOR PRIVADO,142,Propia,3408.08,af02677c-ac35-4bba-8eb0-19f820ac6582
Marion,JUBILADO,850,Vive con Familiares,7267.97,4fed1972-a5f6-4378-a0ab-bbe34180c227
Stevie,INDEPENDIENTE,215,Vive con Familiares,6362.82,84331286-0b10-46cd-8d27-d4c9ff9d16f8
Carlie,PROFESIONAL,810,Arrendada,6831.98,04e01685-9d14-4683-ab18-5bd964d5e971
Mercy,JUBILADO,815,Propia,6152.8,70cf2ac8-3ef0-48d7-81a4-b4fa19c48fbb
Ezequiel,INDEPENDIENTE,877,Arrendada,2819.18,ddd2b08e-01f3-4a92-865b-55cad894e978
Davide,JUBILADO,762,Vive con Familiares,-4355.75,b36336cf-c2b9-4fb2-931a-a409385107af
Liza,JUBILADO,256,Vive con Familiares,6185.02,efc89e2f-fa71-487f-a4ac-5cd9a7f2e621
Mathias,NINGUNO,379,Arrendada,1978.05,bfeecb48-7068-470f-8f63-19ce47a844ca
Trixi,SECTOR PRIVADO,555,Vive con Familiares,8923.84,f5d65d6e-e8d1-4417-a5c1-61b84a122c63
Wendie,SECTOR PRIVADO,764,Propia,5189.87,3ef9f0f0-c427-4e17-988b-a2b3a3682e8e
Dahlia,SECTOR PRIVADO,600,Vive con Familiares,6104.19,b7d5596b-e5bf-47ca-82b1-f3bbc2f6e1d7
Lianna,PROFESIONAL,487,Propia,4971.21,bc4f772c-fc56-41ae-9bac-72f674a08f24
Bernelle,PROFESIONAL,764,Arrendada,1974.43,92924d48-320c-43be-89b9-b500fa6920f2
Deina,NINGUNO,308,Arrendada,4618.22,12fbda48-ae98-46c8-889e-484f5283abaf
Giavani,NINGUNO,368,Arrendada,4644.46,94d928b9-1df7-4f89-a7a4-e17ef9e25cb7
Angie,PROFESIONAL,612,Arrendada,-1995.34,10962bdb-39c2-4437-bcbd-609a609c0adf
Naoma,PROFESIONAL,799,Propia,10725.92,dd8532b3-70f1-465b-98ae-e256e7fb0bb7
Marlo,SECTOR PRIVADO,434,Vive con Familiares,2104.7,f84ab45a-8e43-498b-a186-aa64a2c9b647
Tam,SECTOR PUBLICO,790,Vive con Familiares,2509.0,ad9dfe61-5dd8-48f7-b897-6e2bac498fed
Ranice,JUBILADO,78,Vive con Familiares,6416.44,f55702c9-855b-4229-b208-891e703afb6a
Jose,JUBILADO,445,Arrendada,3318.27,6d902d14-bb6b-4f15-a3f5-c7953a7964c5
Alvina,INDEPENDIENTE,233,Vive con Familiares,9456.22,328361b6-fccd-4214-a4bf-9c11b0b2699b
Ester,INDEPENDIENTE,764,Vive con Familiares,3897.12,e3043ee3-4b6f-4b64-a91e-c6a16aa830d8
Baillie,JUBILADO,142,Arrendada,4330.89,88e2a81c-3cd3-4432-b382-ce4103e899e7
Brocky,SECTOR PUBLICO,413,Propia,7063.23,b86d6df3-5d73-412a-9c8f-72ceb5692653
Jenilee,INDEPENDIENTE,785,Arrendada,4654.43,89ce00e6-76fd-4c44-bb0f-62ed5ecf8bcc
Delilah,INDEPENDIENTE,659,Propia,12467.55,f3198118-fd17-4050-ae69-afe07173914e
Fredi,SECTOR PUBLICO,819,Arrendada,5660.11,4be10306-f295-4ac0-ae20-170d3474e6d1
Camille,INDEPENDIENTE,953,Propia,3114.97,c8bef393-df02-456e-932b-e5f622a6de91
Davis,SECTOR PRIVADO,417,Vive con Familiares,-244.93,cd155d18-bc3e-4980-ba8a-34ba0665aeb6
Hilton,SECTOR PUBLICO,547,Propia,7909.8,3bbe9991-568c-4896-ae46-e43696711fb6
Keenan,PROFESIONAL,875,Propia,3699.87,ccefa1d1-bbd7-4aeb-b9f8-9b09c01ac7bd
Alexio,PROFESIONAL,519,Propia,-4319.2,ef9b6b29-2dd9-4fc5-a514-390e3926b178
Erena,SECTOR PUBLICO,500,Vive con Familiares,2594.38,005717cf-145c-492d-9e68-87a91ceee2a7
Selma,NINGUNO,930,Arrendada,758.92,22986bcc-f58d-4698-aeba-ac5123e52f27
Benjie,INDEPENDIENTE,934,Arrendada,3384.03,1f2e826c-9eee-4bb3-a189-a5deafdb61fd
